gene,log2.fold_change.,value_1,value_2,locus,sample_1,sample_2,status,test_stat,p_value,q_value,significant,fpkm5,fpkm10
Rrp15,1.08515,9.83653,20.8691,chr1:186721086-186749358,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,3.47658,5.00E-05,0.000250321,yes,2,1
Fam136a,1.08422,6.47588,13.7304,chr6:86365682-86370058,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,3.36098,5.00E-05,0.000250321,yes,2,1
G6pc3,1.07618,20.1366,42.4571,chr11:102189698-102194081,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,4.06838,5.00E-05,0.000250321,yes,2,2
Pdk1,1.07185,5.33931,11.2239,chr2:71389259-71903858,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,1.95485,0.0005,0.00203482,yes,2,1
Snx5,1.06563,82.7101,173.119,chr2:144250123-144270902,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,3.8478,5.00E-05,0.000250321,yes,2,2
Cldn15,1.06429,11.6065,24.2708,chr5:136967868-136975845,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,3.81185,5.00E-05,0.000250321,yes,2,2
Rn45s,1.06293,158.781,331.722,chr17:39842996-39848829,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,2.54109,0.0001,0.000477402,yes,2,2
Adi1,1.06032,11.1631,23.2794,chr12:28675206-28682174,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,3.70725,5.00E-05,0.000250321,yes,2,2
Slc45a4,1.06003,10.1627,21.1888,chr15:73580290-73624744,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,3.99599,5.00E-05,0.000250321,yes,2,2
Prmt7,1.05912,7.549,15.7296,chr8:106211053-106251694,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,3.64818,5.00E-05,0.000250321,yes,2,1
Macrod1,1.05622,7.8024,16.225,chr19:7056767-7198062,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,3.23314,5.00E-05,0.000250321,yes,2,1
Ppan,1.05542,12.6855,26.3647,chr9:20888174-20892179,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,3.77235,5.00E-05,0.000250321,yes,2,2
Bcat2,1.05525,28.7091,59.6598,chr7:45567794-45589710,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,4.09018,5.00E-05,0.000250321,yes,2,2
Ctnnd1,1.0536,10.2781,21.3342,chr2:84600780-84650740,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,4.10188,5.00E-05,0.000250321,yes,2,2
Cd36,1.05226,9.1904,19.0589,chr5:17781689-17888959,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,3.86732,5.00E-05,0.000250321,yes,2,1
Arhgap19,1.0501,31.8305,65.9106,chr19:41766587-41802084,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,3.91537,5.00E-05,0.000250321,yes,2,2
Gaa,1.04611,18.5143,38.2313,chr11:119267966-119285698,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,4.08665,5.00E-05,0.000250321,yes,2,2
Gabarapl1,1.04371,16.2846,33.5711,chr6:129532183-129542331,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,3.85294,5.00E-05,0.000250321,yes,2,2
Natd1,1.04137,7.73892,15.9281,chr11:60902245-60913792,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,3.79869,5.00E-05,0.000250321,yes,2,1
Tbxas1,1.03996,27.8415,57.2469,chr6:38918985-39084579,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,3.94052,5.00E-05,0.000250321,yes,2,2
Ftsj3,1.03822,15.1093,31.0298,chr11:106249143-106255802,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,4.01993,5.00E-05,0.000250321,yes,2,2
Ppapdc1b,1.03804,8.48561,17.4246,chr8:25720047-25724887,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,3.31257,5.00E-05,0.000250321,yes,2,1
Il11ra1,1.03615,7.71602,15.8236,chr4:41760442-41774176,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,3.35325,5.00E-05,0.000250321,yes,2,1
Cluh,1.03047,11.5519,23.5969,chr11:74649494-74670847,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,4.04403,5.00E-05,0.000250321,yes,2,2
Pitrm1,1.03039,13.2834,27.1325,chr13:6548156-6648771,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,2.45766,0.0002,0.000900679,yes,2,2
Gcdh,1.03013,5.69408,11.6285,chr8:84872110-84893921,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,2.5577,0.0001,0.000477402,yes,2,1
Smyd5,1.02712,6.8467,13.9533,chr6:85431975-85446429,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,3.52188,5.00E-05,0.000250321,yes,2,1
Nudt9,1.02642,11.5939,23.6165,chr5:104046863-104065378,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,3.54236,5.00E-05,0.000250321,yes,2,2
Ptgs1,1.02419,20.515,41.7238,chr2:36230425-36252271,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,3.97147,5.00E-05,0.000250321,yes,2,2
Pde4dip,1.02419,5.37843,10.9388,chr3:97689828-97888707,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,3.68731,5.00E-05,0.000250321,yes,2,1
Polr1b,1.02348,5.24929,10.6708,chr2:129100995-129126595,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,3.64133,5.00E-05,0.000250321,yes,2,1
Dtx4,1.02315,9.68079,19.6747,chr19:12466335-12501996,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,3.9922,5.00E-05,0.000250321,yes,2,1
Asrgl1,1.02308,10.6239,21.5906,chr19:9111718-9135566,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,3.7109,5.00E-05,0.000250321,yes,2,2
Wdr75,1.02232,6.3654,12.9293,chr1:45795500-45823613,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,3.50086,5.00E-05,0.000250321,yes,2,1
Tpp1,1.02014,29.6052,60.0427,chr7:105744846-105752207,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,3.8502,5.00E-05,0.000250321,yes,2,2
Mns1,1.01926,8.17174,16.5631,chr9:72438528-72491959,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,2.98563,5.00E-05,0.000250321,yes,2,1
Apoe,1.0159,1203.54,2433.75,chr7:19696243-19699188,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,2.01656,0.0014,0.00499027,yes,2,2
Dkc1,1.01545,14.9745,30.2716,chrX:75095853-75131016,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,1.7655,0.00515,0.0153436,yes,2,2
Timp2,1.01479,26.8048,54.1622,chr11:118301060-118355411,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,3.7208,5.00E-05,0.000250321,yes,2,2
Nat10,1.01441,6.26323,12.6522,chr2:103721258-103761250,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,3.68784,5.00E-05,0.000250321,yes,2,1
Abhd12,1.01168,45.1204,90.9742,chr2:150832514-150904731,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,3.7762,5.00E-05,0.000250321,yes,2,2
Oxct1,1.01058,28.1629,56.7402,chr15:4020110-4155344,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,3.90435,5.00E-05,0.000250321,yes,2,2
Hsph1,1.00706,10.1633,20.4262,chr5:149616844-149636315,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,3.78798,5.00E-05,0.000250321,yes,2,2
Pebp1,1.00401,80.4343,161.317,chr5:117282650-117287564,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,3.91384,5.00E-05,0.000250321,yes,2,2
Arl2,1.00351,11.4701,22.9961,chr19:6134388-6141137,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,3.07229,5.00E-05,0.000250321,yes,2,2
Slc7a7,1.00086,10.9241,21.8612,chr14:54360840-54417702,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,1.73,0.0044,0.0133887,yes,2,2
Lrrfip1,-1.00116,83.5557,41.7444,chr1:90998726-91128944,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-3.70919,5.00E-05,0.000250321,yes,2,2
Lat2,-1.00117,43.8554,21.91,chr5:134600102-134615025,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-3.81853,5.00E-05,0.000250321,yes,2,2
Trp53i11,-1.00128,14.4134,7.20031,chr2:93187583-93201757,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-3.51223,5.00E-05,0.000250321,yes,2,1
Aldh3a2,-1.00143,37.8486,18.9056,chr11:61244751-61267186,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-3.92953,5.00E-05,0.000250321,yes,2,2
Mapk13,-1.00509,18.3016,9.11857,chr17:28769316-28778704,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-3.22812,5.00E-05,0.000250321,yes,2,1
Prkcd,-1.00527,227.03,113.101,chr14:30595353-30626208,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-3.50724,5.00E-05,0.000250321,yes,2,2
Elmo2,-1.00547,57.9534,28.8671,chr2:165288030-165326479,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-3.87688,5.00E-05,0.000250321,yes,2,2
Malt1,-1.00665,18.7171,9.3155,chr18:64887755-65689436,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-3.0735,5.00E-05,0.000250321,yes,2,1
Dgkg,-1.00743,14.6133,7.26911,chr16:22466568-22657231,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-3.86798,5.00E-05,0.000250321,yes,2,1
Pitpnm1,-1.00758,44.4049,22.0861,chr19:4099997-4125858,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-2.86751,5.00E-05,0.000250321,yes,2,2
Actg1,-1.00781,2164.71,1076.51,chr11:120345689-120348484,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-2.05251,0.00095,0.00356741,yes,2,2
Shisa5,-1.00885,201.177,99.9735,chr9:109038566-109057792,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-3.65904,5.00E-05,0.000250321,yes,2,2
Cotl1,-1.0103,770.044,382.284,chr8:119809213-119840579,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-3.08052,5.00E-05,0.000250321,yes,2,2
Mndal,-1.01229,40.8074,20.2306,chr1:173857219-173880187,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-3.82985,5.00E-05,0.000250321,yes,2,2
Zfp36l2,-1.01243,357.421,177.178,chr17:84183927-84187947,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-3.02329,5.00E-05,0.000250321,yes,2,2
Anxa6,-1.01306,130.628,64.7255,chr11:54978961-55033471,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-3.77746,5.00E-05,0.000250321,yes,2,2
Arap3,-1.01452,42.6012,21.0873,chr18:37972622-37998969,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-3.91356,5.00E-05,0.000250321,yes,2,2
Birc3,-1.01497,46.9258,23.2207,chr9:7848700-7873170,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-3.97114,5.00E-05,0.000250321,yes,2,2
Icosl,-1.01524,19.9652,9.87768,chr10:78069367-78079525,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-3.75725,5.00E-05,0.000250321,yes,2,1
Pld4,-1.01546,302.088,149.434,chr12:112760654-112768986,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-3.48292,5.00E-05,0.000250321,yes,2,2
Cd44,-1.01711,126.754,62.6299,chr2:102811141-102901665,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-3.61795,5.00E-05,0.000250321,yes,2,2
1110007C09Rik,-1.01731,58.0282,28.668,chr13:49202950-49216026,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-3.68128,5.00E-05,0.000250321,yes,2,2
Fam102a,-1.02094,17.0115,8.38318,chr2:32535358-32569750,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-3.8761,5.00E-05,0.000250321,yes,2,1
Cast,-1.02144,62.7155,30.8952,chr13:74693293-74808760,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-3.9064,5.00E-05,0.000250321,yes,2,2
Crip1,-1.02226,452.466,222.769,chr12:113152011-113153879,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-3.92155,5.00E-05,0.000250321,yes,2,2
Snrk,-1.0241,21.0975,10.374,chr9:122117265-122169702,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.0093,5.00E-05,0.000250321,yes,2,2
Acox3,-1.02644,32.7541,16.0796,chr5:35581226-35613801,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.01496,5.00E-05,0.000250321,yes,2,2
Tle3,-1.02701,45.7993,22.475,chr9:61372365-61418497,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-3.96587,5.00E-05,0.000250321,yes,2,2
Dna2,-1.0277,35.7327,17.5266,chr10:62947028-62974188,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.01585,5.00E-05,0.000250321,yes,2,2
Kdm6b,-1.02831,24.1118,11.8216,chr11:69398517-69413675,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.0386,5.00E-05,0.000250321,yes,2,2
Tmem184b,-1.03064,31.9138,15.6216,chr15:79360683-79403303,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.00976,5.00E-05,0.000250321,yes,2,2
Klrb1f,-1.03078,17.2423,8.43918,chr6:129045900-129057471,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-3.38717,5.00E-05,0.000250321,yes,2,1
Pik3r5,-1.03117,33.6927,16.4863,chr11:68432124-68497846,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.03941,5.00E-05,0.000250321,yes,2,2
Pros1,-1.03119,12.0303,5.88654,chr16:62854333-62929340,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-3.62178,5.00E-05,0.000250321,yes,2,1
Rin3,-1.0331,164.421,80.3463,chr12:102283073-102390854,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-3.61451,5.00E-05,0.000250321,yes,2,2
Tnfrsf1b,-1.0333,145.983,71.326,chr4:145212367-145246870,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-3.48919,5.00E-05,0.000250321,yes,2,2
Cd40,-1.03445,10.9046,5.32367,chr2:165055635-165071654,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-3.0487,5.00E-05,0.000250321,yes,2,1
Dok2,-1.03544,50.9741,24.8687,chr14:70774380-70778494,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-3.99302,5.00E-05,0.000250321,yes,2,2
Adam15,-1.03724,58.0255,28.2733,chr3:89339639-89350010,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.04557,5.00E-05,0.000250321,yes,2,2
Klf11,-1.03927,13.6699,6.65138,chr12:24651370-24662782,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-3.8489,5.00E-05,0.000250321,yes,2,1
Slc25a24,-1.04114,29.3886,14.2812,chr3:109123148-109168409,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.05159,5.00E-05,0.000250321,yes,2,2
Rassf5,-1.0412,72.3505,35.1569,chr1:131176409-131245178,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.01395,5.00E-05,0.000250321,yes,2,2
Pot1b,-1.04141,14.6739,7.12934,chr17:55652024-55712628,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-3.81573,5.00E-05,0.000250321,yes,2,1
D1Ertd622e,-1.04154,35.4916,17.2421,chr1:97643901-97662018,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.02479,5.00E-05,0.000250321,yes,2,2
Il1rn,-1.04191,10.0739,4.89272,chr2:24336859-24351491,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-3.27978,5.00E-05,0.000250321,yes,1,1
Lyz2,-1.04356,7034.46,3412.62,chr10:117277540-117282272,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-1.91619,0.0003,0.00129941,yes,2,2
Fam129c,-1.04514,10.9177,5.29067,chr8:71597645-71608149,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-3.30745,5.00E-05,0.000250321,yes,2,1
Gimap6,-1.04546,20.1985,9.78598,chr6:48701582-48708244,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-3.48568,5.00E-05,0.000250321,yes,2,1
Pag1,-1.04599,12.1801,5.89898,chr3:9687481-9833679,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.06416,5.00E-05,0.000250321,yes,2,1
Csnk1e,-1.0488,36.601,17.6918,chr15:79417851-79442057,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.05827,5.00E-05,0.000250321,yes,2,2
Gda,-1.04887,89.3832,43.203,chr19:21391306-21472661,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-3.76568,5.00E-05,0.000250321,yes,2,2
Plekhg3,-1.05124,27.1398,13.0964,chr12:76533559-76579039,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.13102,5.00E-05,0.000250321,yes,2,2
Mcl1,-1.05229,244.772,118.029,chr3:95658720-95663178,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-3.4746,5.00E-05,0.000250321,yes,2,2
Selm,-1.05448,26.2757,12.651,chr11:3514701-3517351,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-3.29944,5.00E-05,0.000250321,yes,2,2
"Ear2,Ear3",-1.05569,2599.27,1250.42,chr14:44102653-44103531,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-2.70252,5.00E-05,0.000250321,yes,2,2
Nfam1,-1.05702,158.437,76.1486,chr15:82996735-83033397,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-3.69897,5.00E-05,0.000250321,yes,2,2
Lilrb4a,-1.05938,61.558,29.5378,chr10:51490897-51496611,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.13009,5.00E-05,0.000250321,yes,2,2
Tnfrsf13c,-1.06079,12.04,5.77163,chr15:82221743-82224336,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-3.26493,5.00E-05,0.000250321,yes,2,1
Pira6,-1.0612,12.2158,4.89117,chr7:3731632-3915501,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-2.11342,5.00E-05,0.000250321,yes,1,1
Map3k14,-1.06524,18.5304,8.85552,chr11:103219763-103267401,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.03594,5.00E-05,0.000250321,yes,2,1
Gsn,-1.06607,191.783,91.5989,chr2:35256358-35307902,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-3.85597,5.00E-05,0.000250321,yes,2,2
Adgre5,-1.06659,219.083,104.6,chr8:83715176-83741311,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-3.13147,5.00E-05,0.000250321,yes,2,2
Cnr2,-1.06943,23.9349,11.4051,chr4:135895188-135920219,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.17936,5.00E-05,0.000250321,yes,2,2
Lats2,-1.07112,23.9839,11.4151,chr14:57689661-57746123,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.00778,5.00E-05,0.000250321,yes,2,2
Il10ra,-1.07382,89.4447,42.4916,chr9:45253838-45269146,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.02576,5.00E-05,0.000250321,yes,2,2
Btg2,-1.07418,53.8002,25.5519,chr1:134074864-134079155,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.21002,5.00E-05,0.000250321,yes,2,2
Rhou,-1.07459,21.8166,10.3586,chr8:123653928-123663880,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.09529,5.00E-05,0.000250321,yes,2,2
I830077J02Rik,-1.07726,27.9207,13.2324,chr3:105925890-105932664,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-3.58687,5.00E-05,0.000250321,yes,2,2
Klf6,-1.07805,50.37,23.8587,chr13:5861488-5870393,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.18212,5.00E-05,0.000250321,yes,2,2
Gadd45a,-1.08224,30.1412,14.2356,chr6:67035095-67080652,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-3.60627,5.00E-05,0.000250321,yes,2,2
Esyt1,-1.08291,212.333,100.237,chr10:128510249-128525859,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-3.65471,5.00E-05,0.000250321,yes,2,2
Gpr132,-1.08357,27.7095,13.075,chr12:112850875-112860916,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.09025,5.00E-05,0.000250321,yes,2,2
Map3k5,-1.08365,20.9326,9.8767,chr10:19934525-20142750,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.23057,5.00E-05,0.000250321,yes,2,1
S100a11,-1.085,1008.34,475.326,chr3:93520495-93526288,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-3.92267,5.00E-05,0.000250321,yes,2,2
Vim,-1.0853,906.748,427.345,chr2:13574310-13582826,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-3.06225,5.00E-05,0.000250321,yes,2,2
Fxyd5,-1.08648,416.518,196.142,chr7:31032722-31042331,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-3.95517,5.00E-05,0.000250321,yes,2,2
Gata2,-1.08665,24.8864,11.7178,chr6:88198663-88207032,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.06252,5.00E-05,0.000250321,yes,2,2
Lmbr1l,-1.08793,11.1657,5.25277,chr15:98903920-98918098,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-3.45099,5.00E-05,0.000250321,yes,2,1
Nfe2,-1.09099,190.377,89.3705,chr15:103248211-103258403,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.11179,5.00E-05,0.000250321,yes,2,2
Myh9,-1.09332,422.687,198.106,chr15:77760584-77842175,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-2.47279,5.00E-05,0.000250321,yes,2,2
H2-K2,-1.09342,12.9838,6.08486,chr17:33974658-33978791,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-3.18738,5.00E-05,0.000250321,yes,2,1
"Evi2b,Gm21975",-1.09424,121.296,56.8128,chr11:79339891-79581609,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-3.08631,5.00E-05,0.000250321,yes,2,2
Cdkn2d,-1.09536,81.9468,38.3527,chr9:21288463-21291209,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.26488,5.00E-05,0.000250321,yes,2,2
Phf11b,-1.09545,17.9087,8.38109,chr14:59320963-59341330,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-3.34224,5.00E-05,0.000250321,yes,2,1
Pstpip1,-1.09975,111.8,52.1658,chr9:56089975-56128890,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.28081,5.00E-05,0.000250321,yes,2,2
Sfxn3,-1.10031,23.6766,11.0431,chr19:45047575-45056383,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.16399,5.00E-05,0.000250321,yes,2,2
Pacs1,-1.10169,37.9961,17.705,chr19:5133684-5273119,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.32313,5.00E-05,0.000250321,yes,2,2
Sema4d,-1.10229,85.1388,39.6557,chr13:51701247-51793747,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.10091,5.00E-05,0.000250321,yes,2,2
Hlx,-1.10484,25.5189,11.8651,chr1:184727144-184732493,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.07345,5.00E-05,0.000250321,yes,2,2
Ifi203,-1.10671,32.4485,15.0675,chr1:173920400-173942672,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.21319,5.00E-05,0.000250321,yes,2,2
Sqrdl,-1.10727,76.4478,35.4848,chr2:122765358-122809551,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.33803,5.00E-05,0.000250321,yes,2,2
Dennd1c,-1.10836,23.3349,10.8232,chr17:57066054-57078510,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.11823,5.00E-05,0.000250321,yes,2,2
Tifab,-1.1086,96.1479,44.5881,chr13:56173702-56178885,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.13958,5.00E-05,0.000250321,yes,2,2
Slc16a3,-1.11371,46.4913,21.4838,chr11:120948483-120959000,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.31499,5.00E-05,0.000250321,yes,2,2
Slfn5,-1.11403,43.231,19.9728,chr11:82911252-82964850,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.14426,5.00E-05,0.000250321,yes,2,2
St8sia4,-1.11525,35.8636,16.555,chr1:95587681-95667594,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.19482,5.00E-05,0.000250321,yes,2,2
B4galt5,-1.11551,26.3423,12.1577,chr2:167298444-167349178,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.31922,5.00E-05,0.000250321,yes,2,2
Ggh,-1.11601,53.5995,24.7291,chr4:20042051-20066111,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.24521,5.00E-05,0.000250321,yes,2,2
Slc12a9,-1.11824,17.2986,7.96869,chr5:137314557-137333582,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.12096,5.00E-05,0.000250321,yes,2,1
Mef2a,-1.12318,35.2743,16.1938,chr7:67231162-67372858,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.35454,5.00E-05,0.000250321,yes,2,2
Hgsnat,-1.12509,51.7669,23.7338,chr8:25944458-25976744,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.40019,5.00E-05,0.000250321,yes,2,2
Pygl,-1.12857,253.882,116.118,chr12:70190814-70227683,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-3.89077,5.00E-05,0.000250321,yes,2,2
